"Sample collection",,"MTBLS10"
"Extraction",,"MTBLS10"
"Chromatography",,"MTBLS10"
"Mass spectrometry",,"MTBLS10"
"Data transformation",,"MTBLS10"
"Metabolite identification",,"MTBLS10"
"Sample collection",,"MTBLS103"
"Extraction",,"MTBLS103"
"Chromatography",,"MTBLS103"
"Mass spectrometry",,"MTBLS103"
"Data transformation",,"MTBLS103"
"Metabolite identification",,"MTBLS103"
"NMR sample",,"MTBLS103"
"NMR spectroscopy",,"MTBLS103"
"NMR assay",,"MTBLS103"
"Sample collection",,"MTBLS105"
"Extraction",,"MTBLS105"
"Chromatography",,"MTBLS105"
"Mass spectrometry",,"MTBLS105"
"Data transformation",,"MTBLS105"
"Metabolite identification",,"MTBLS105"
"Quality assessment",,"MTBLS105"
"Sample collection",,"MTBLS107"
"Data transformation",,"MTBLS107"
"Chromatography",,"MTBLS107"
"Mass spectrometry",,"MTBLS107"
"Metabolite identification",,"MTBLS107"
"Extraction",,"MTBLS107"
"Sample collection",,"MTBLS108"
"Data transformation",,"MTBLS108"
"Chromatography",,"MTBLS108"
"Mass spectrometry",,"MTBLS108"
"Metabolite identification",,"MTBLS108"
"Extraction",,"MTBLS108"
"Sample collection",,"MTBLS109"
"Data transformation",,"MTBLS109"
"Chromatography",,"MTBLS109"
"Mass spectrometry",,"MTBLS109"
"Metabolite identification",,"MTBLS109"
"Extraction",,"MTBLS109"
"Sample collection",,"MTBLS11"
"Extraction",,"MTBLS11"
"Chromatography",,"MTBLS11"
"Mass spectrometry",,"MTBLS11"
"Data transformation",,"MTBLS11"
"Metabolite identification",,"MTBLS11"
"Sample collection",,"MTBLS110"
"Data transformation",,"MTBLS110"
"Chromatography",,"MTBLS110"
"Mass spectrometry",,"MTBLS110"
"Metabolite identification",,"MTBLS110"
"Extraction",,"MTBLS110"
"Sample collection",,"MTBLS111"
"Data transformation",,"MTBLS111"
"Chromatography",,"MTBLS111"
"Mass spectrometry",,"MTBLS111"
"Metabolite identification",,"MTBLS111"
"Extraction",,"MTBLS111"
"Sample collection",,"MTBLS112"
"Extraction",,"MTBLS112"
"Chromatography",,"MTBLS112"
"Mass spectrometry",,"MTBLS112"
"Data transformation",,"MTBLS112"
"Metabolite identification",,"MTBLS112"
"Sample collection",,"MTBLS113"
"Extraction",,"MTBLS113"
"Chromatography",,"MTBLS113"
"Mass spectrometry",,"MTBLS113"
"Data transformation",,"MTBLS113"
"Metabolite identification",,"MTBLS113"
"Derivatization",,"MTBLS113"
"Chromatography",,"MTBLS117"
"Data transformation",,"MTBLS117"
"Extraction",,"MTBLS117"
"Mass spectrometry",,"MTBLS117"
"Metabolite identification",,"MTBLS117"
"Sample collection",,"MTBLS117"
"Sample collection",,"MTBLS118"
"Extraction",,"MTBLS118"
"Chromatography",,"MTBLS118"
"Mass spectrometry",,"MTBLS118"
"Data transformation",,"MTBLS118"
"Metabolite identification",,"MTBLS118"
"Extraction",,"MTBLS119"
"Chromatography",,"MTBLS119"
"Mass spectrometry",,"MTBLS119"
"Data transformation",,"MTBLS119"
"Metabolite identification",,"MTBLS119"
"Sample collection",,"MTBLS119"
"Sample collection",,"MTBLS12"
"Extraction",,"MTBLS12"
"Chromatography",,"MTBLS12"
"Mass spectrometry",,"MTBLS12"
